Fold,Accuracy,Training_Time,Prediction_Time
1,0.8809523809523809,0.0,0.0
2,0.8095238095238095,0.008025169372558594,0.0
3,0.9047619047619048,0.004578828811645508,0.0
4,0.8809523809523809,0.0025098323822021484,0.0
5,0.8571428571428571,0.0020532608032226562,0.0
6,0.9285714285714286,0.0016963481903076172,0.0009374618530273438
7,0.7619047619047619,0.00087738037109375,0.0
8,0.7619047619047619,0.0,0.0
9,0.9285714285714286,0.0,0.0
10,0.9285714285714286,0.0010058879852294922,0.0
11,0.8571428571428571,0.0009922981262207031,0.0
12,0.8809523809523809,0.0,0.0011034011840820312
13,0.7619047619047619,0.0009992122650146484,0.0
14,0.8571428571428571,0.00089263916015625,0.0004525184631347656
15,0.8809523809523809,0.0013973712921142578,0.0
16,0.8571428571428571,0.0022644996643066406,0.0
17,0.9047619047619048,0.0,0.0
18,0.9047619047619048,0.0,0.0
19,0.7857142857142857,0.0,0.0
20,0.8809523809523809,0.0,0.0
21,0.8809523809523809,0.0,0.0
22,0.8571428571428571,0.0,0.0
23,0.9285714285714286,0.0,0.0
24,0.8809523809523809,0.0,0.0
25,0.9047619047619048,0.0,0.0
26,0.9047619047619048,0.015481948852539062,0.0
27,0.8571428571428571,0.002007007598876953,0.0
28,0.8333333333333334,0.0,0.0020041465759277344
29,0.8809523809523809,0.0,0.0
30,0.8571428571428571,0.0,0.0
31,0.8809523809523809,0.0020055770874023438,0.0
32,0.8809523809523809,0.002004861831665039,0.0
33,0.8809523809523809,0.0,0.0020036697387695312
34,0.8333333333333334,0.0,0.0
35,0.9047619047619048,0.0,0.0037255287170410156
36,0.8333333333333334,0.0,0.0
37,0.8333333333333334,0.0,0.0
38,0.9285714285714286,0.0020046234130859375,0.0
39,0.7857142857142857,0.0020041465759277344,0.0003314018249511719
40,0.9047619047619048,0.0014684200286865234,0.0
41,0.9523809523809523,0.00043463706970214844,0.0
42,0.7380952380952381,0.0,0.0
43,0.9761904761904762,0.0,0.0
44,0.9523809523809523,0.0,0.0
45,0.8333333333333334,0.00780797004699707,0.0
46,0.8333333333333334,0.002006053924560547,0.0
47,0.8571428571428571,0.0020055770874023438,0.0
48,0.8809523809523809,0.001985788345336914,0.0
49,0.9761904761904762,0.0012252330780029297,0.0012981891632080078
50,0.8333333333333334,0.0,0.0
