Accuracy,Fold
0.8095238095238095,1
0.7619047619047619,2
0.7619047619047619,3
0.8095238095238095,4
0.8571428571428571,5
0.8571428571428571,6
0.6904761904761905,7
0.7619047619047619,8
0.8809523809523809,9
0.9285714285714286,10
0.7619047619047619,11
0.8571428571428571,12
0.7380952380952381,13
0.8333333333333334,14
0.8571428571428571,15
0.8095238095238095,16
0.8333333333333334,17
0.8809523809523809,18
0.6904761904761905,19
0.8333333333333334,20
0.8809523809523809,21
0.7142857142857143,22
0.8095238095238095,23
0.8095238095238095,24
0.8571428571428571,25
0.9523809523809523,26
0.7619047619047619,27
0.7142857142857143,28
0.7857142857142857,29
0.8333333333333334,30
0.7380952380952381,31
0.8095238095238095,32
0.9047619047619048,33
0.7857142857142857,34
0.8809523809523809,35
0.8095238095238095,36
0.7380952380952381,37
0.7857142857142857,38
0.8809523809523809,39
0.8571428571428571,40
0.8333333333333334,41
0.6428571428571429,42
0.9047619047619048,43
0.8809523809523809,44
0.7380952380952381,45
0.7380952380952381,46
0.8571428571428571,47
0.8333333333333334,48
0.8571428571428571,49
0.7857142857142857,50
