Fold,Accuracy,Training_Time,Prediction_Time
1,0.8604651162790697,0.1734151840209961,0.0
2,0.8809523809523809,0.19355320930480957,0.0
3,0.7380952380952381,0.18980169296264648,0.0003647804260253906
4,0.8095238095238095,0.17794394493103027,0.0
5,0.9047619047619048,0.19191789627075195,0.0
6,0.9302325581395349,0.1836071014404297,0.0
7,0.7380952380952381,0.19093847274780273,0.0
8,0.8333333333333334,0.17939543724060059,0.0
9,0.8333333333333334,0.191361665725708,0.0
10,0.9047619047619048,0.1707446575164795,0.0
11,0.8837209302325582,0.1804351806640625,0.0
12,0.8571428571428571,0.17222833633422852,0.0
13,0.8571428571428571,0.19217538833618164,0.0
14,0.8571428571428571,0.1758723258972168,0.0
15,0.8333333333333334,0.18092751502990723,0.0
16,0.8837209302325582,0.1774733066558838,0.0
17,1.0,0.18223285675048828,0.0
18,0.8095238095238095,0.18161416053771973,0.0
19,0.8571428571428571,0.17498230934143066,0.0
20,0.8095238095238095,0.17030763626098633,0.0
21,0.9302325581395349,0.1621079444885254,0.0
22,0.8809523809523809,0.19972753524780273,0.0
23,0.7857142857142857,0.1682722568511963,0.0
24,0.8095238095238095,0.17354035377502441,0.0
25,0.8333333333333334,0.16604399681091309,0.0
26,0.9302325581395349,0.17560505867004395,0.0
27,0.8571428571428571,0.1666407585144043,0.0
28,0.7619047619047619,0.16764378547668457,0.0
29,0.9285714285714286,0.16571712493896484,0.0
30,0.8571428571428571,0.16658687591552734,0.0
31,0.9069767441860465,0.16027259826660156,0.0
32,0.8571428571428571,0.17318129539489746,0.0
33,0.8571428571428571,0.16674113273620605,0.0
34,0.8571428571428571,0.1699676513671875,0.0
35,0.8571428571428571,0.17184090614318848,0.0
36,0.8837209302325582,0.16799330711364746,0.005235195159912109
37,0.7857142857142857,0.16801691055297852,0.0
38,0.9285714285714286,0.1719520092010498,0.0
39,0.9285714285714286,0.1613926887512207,0.0
40,0.9285714285714286,0.16619110107421875,0.0
41,0.9302325581395349,0.16667604446411133,0.000522613525390625
42,0.7857142857142857,0.1660149097442627,0.0
43,0.8095238095238095,0.17494702339172363,0.0005288124084472656
44,0.9047619047619048,0.16903090476989746,0.0
45,0.9285714285714286,0.16575264930725098,0.0
46,0.9302325581395349,0.16960525512695312,0.0
47,0.9285714285714286,0.16620373725891113,0.0
48,0.8809523809523809,0.1664588451385498,0.0
49,0.8809523809523809,0.17238187789916992,0.0
50,0.8809523809523809,0.16922736167907715,0.0
