fold,accuracy,training_time,prediction_time,learning_rate,max_depth,n_estimators
1,0.8604651162790697,21.76478600502014,0.0,0.1,5,50
2,0.8333333333333334,16.702024221420288,0.0031938552856445312,0.1,7,100
3,0.8571428571428571,15.044304847717285,0.0010018348693847656,0.1,3,50
4,0.9523809523809523,19.31401252746582,0.0,0.2,5,50
5,0.8571428571428571,24.309728145599365,0.0,0.01,3,200
6,0.8837209302325582,17.055577754974365,0.0010056495666503906,0.2,5,100
7,0.8095238095238095,15.279623985290527,0.0009779930114746094,0.2,7,100
8,0.8571428571428571,15.635231494903564,0.0009996891021728516,0.1,3,50
9,0.9285714285714286,16.555796146392822,0.0019390583038330078,0.01,3,200
10,0.9523809523809523,17.004318952560425,0.0009951591491699219,0.1,3,50
11,0.8837209302325582,16.72980546951294,0.0015063285827636719,0.1,5,50
12,0.9047619047619048,21.022003650665283,0.008168220520019531,0.1,3,200
13,0.8809523809523809,25.36894989013672,0.004904985427856445,0.1,5,200
14,0.8095238095238095,21.951001405715942,0.0,0.2,5,50
15,0.7857142857142857,20.584697246551514,0.0,0.1,5,50
16,0.8604651162790697,21.731679677963257,0.0010068416595458984,0.01,7,100
17,0.9761904761904762,18.11151671409607,0.0,0.1,5,100
18,0.8809523809523809,16.292555809020996,0.0010988712310791016,0.2,3,100
19,0.8571428571428571,16.83118963241577,0.0019009113311767578,0.1,3,100
20,0.9047619047619048,17.301310300827026,0.001999378204345703,0.2,5,50
21,0.9302325581395349,17.683721780776978,0.0020101070404052734,0.2,5,200
22,0.8333333333333334,18.74666738510132,0.004068136215209961,0.1,5,200
23,0.8333333333333334,16.468976736068726,0.0007777214050292969,0.1,5,200
24,0.8095238095238095,14.906912565231323,0.0011310577392578125,0.1,3,50
25,0.9047619047619048,16.658021450042725,0.0,0.01,3,200
26,0.9302325581395349,21.74644637107849,0.002946138381958008,0.01,3,200
27,0.8809523809523809,24.469906330108643,0.0008637905120849609,0.1,3,100
28,0.6666666666666666,16.922423601150513,0.0013036727905273438,0.1,5,50
29,0.9285714285714286,16.083604335784912,0.001033782958984375,0.2,3,50
30,0.8809523809523809,15.907576322555542,0.0010001659393310547,0.2,3,100
31,0.8372093023255814,20.37742257118225,0.005399227142333984,0.1,3,200
32,0.8809523809523809,22.509320497512817,0.0,0.1,3,50
33,0.8571428571428571,18.35874581336975,0.0009543895721435547,0.1,5,200
34,0.8809523809523809,16.031023263931274,0.0009980201721191406,0.2,5,100
35,0.8571428571428571,16.441975831985474,0.008679866790771484,0.1,3,200
36,0.9302325581395349,17.052510499954224,0.0,0.2,7,50
37,0.7857142857142857,13.80824875831604,0.0010061264038085938,0.1,3,200
38,0.9285714285714286,16.271652698516846,0.0013856887817382812,0.2,7,200
39,0.9285714285714286,16.83618998527527,0.0,0.01,3,200
40,0.8571428571428571,15.64236831665039,0.0009999275207519531,0.2,5,50
41,0.9069767441860465,16.2147798538208,0.0016088485717773438,0.2,5,200
42,0.8333333333333334,16.379323482513428,0.0010180473327636719,0.1,7,200
43,0.8571428571428571,14.939504146575928,0.0021364688873291016,0.1,3,50
44,0.9523809523809523,17.416078805923462,0.0,0.1,5,100
45,0.8809523809523809,15.708512306213379,0.0014040470123291016,0.2,3,50
46,0.9069767441860465,16.51105809211731,0.0,0.01,3,200
47,0.8809523809523809,16.64362645149231,0.0,0.01,3,100
48,0.8809523809523809,15.274290084838867,0.0005064010620117188,0.1,3,50
49,0.9047619047619048,14.781667947769165,0.0035157203674316406,0.2,5,100
50,0.9047619047619048,15.601479768753052,0.0,0.1,3,50
