fold,accuracy,training_time,prediction_time,colsample_bytree,learning_rate,max_depth,n_estimators,subsample
1,0.8809523809523809,3.9693665504455566,0.0020074844360351562,1.0,0.1,5,100,0.8
2,0.8333333333333334,3.4283828735351562,0.001001596450805664,1.0,0.2,7,100,1.0
3,0.8809523809523809,4.288360595703125,0.002008199691772461,0.8,0.1,5,50,0.8
4,0.8809523809523809,6.722514390945435,0.00174713134765625,0.8,0.1,7,100,0.8
5,0.8571428571428571,6.776906728744507,0.00200653076171875,0.8,0.1,3,100,1.0
6,0.9761904761904762,5.6799116134643555,0.0020062923431396484,0.8,0.1,3,100,0.8
7,0.8095238095238095,7.16246771812439,0.0020105838775634766,1.0,0.1,5,100,1.0
8,0.8571428571428571,7.137456893920898,0.006938457489013672,0.8,0.1,3,100,0.8
9,0.9523809523809523,7.195825576782227,0.004017829895019531,1.0,0.1,7,100,1.0
10,0.9523809523809523,6.6358630657196045,0.003831624984741211,0.8,0.2,3,50,0.8
11,0.9523809523809523,5.827524900436401,0.0021305084228515625,0.8,0.1,7,50,0.8
12,0.8571428571428571,5.785297155380249,0.001953125,0.8,0.2,5,200,0.8
13,0.8571428571428571,6.261211395263672,0.002004384994506836,0.8,0.1,3,200,0.8
14,0.8809523809523809,7.6488356590271,0.0,0.8,0.1,5,100,0.8
15,0.9047619047619048,6.147951364517212,0.0019567012786865234,1.0,0.2,5,200,0.8
16,0.9047619047619048,5.8969268798828125,0.0020105838775634766,0.8,0.2,5,50,0.8
17,0.9047619047619048,5.132861852645874,0.0,0.8,0.1,5,50,1.0
18,0.9047619047619048,4.350449323654175,0.0,1.0,0.2,5,50,0.8
19,0.8333333333333334,4.371442794799805,0.0018329620361328125,0.8,0.1,5,50,0.8
20,0.8571428571428571,4.5137200355529785,0.0020079612731933594,0.8,0.1,7,200,0.8
21,0.9285714285714286,4.319605827331543,0.0019979476928710938,0.8,0.2,3,50,1.0
22,0.8571428571428571,4.293257236480713,0.002466917037963867,0.8,0.1,3,50,1.0
23,0.8333333333333334,4.408343315124512,0.0,0.8,0.1,7,100,0.8
24,0.8333333333333334,4.302966594696045,0.0020003318786621094,0.8,0.1,3,100,1.0
25,0.9523809523809523,4.371513366699219,0.0,0.8,0.2,5,100,0.8
26,0.9523809523809523,4.4295783042907715,0.0005993843078613281,0.8,0.1,5,100,1.0
27,0.8809523809523809,4.58546257019043,0.002382040023803711,1.0,0.2,5,100,1.0
28,0.8333333333333334,5.253968238830566,0.0023615360260009766,0.8,0.1,5,100,1.0
29,0.9047619047619048,5.300271034240723,0.0015478134155273438,1.0,0.1,3,100,0.8
30,0.8809523809523809,5.1246337890625,0.0020084381103515625,0.8,0.2,7,100,0.8
31,0.8809523809523809,5.231445074081421,0.0009558200836181641,0.8,0.1,7,50,0.8
32,0.9047619047619048,4.484926700592041,0.0020051002502441406,0.8,0.2,3,50,0.8
33,0.9047619047619048,5.000592470169067,0.0020036697387695312,1.0,0.1,7,200,1.0
34,0.8809523809523809,4.485005140304565,0.0020055770874023438,0.8,0.1,3,100,1.0
35,0.8809523809523809,4.415846586227417,0.0,0.8,0.1,5,50,0.8
36,0.8333333333333334,4.309126377105713,0.0019979476928710938,0.8,0.1,3,100,1.0
37,0.9047619047619048,4.5926337242126465,0.0017380714416503906,1.0,0.1,5,100,0.8
38,0.9047619047619048,4.351083517074585,0.0,0.8,0.1,3,100,1.0
39,0.9523809523809523,4.39681339263916,0.002157449722290039,0.8,0.2,3,50,1.0
40,0.9523809523809523,4.434320449829102,0.002004384994506836,0.8,0.1,3,100,0.8
41,0.9761904761904762,4.500868558883667,0.0020062923431396484,0.8,0.2,3,50,1.0
42,0.8095238095238095,4.2759108543396,0.002000570297241211,0.8,0.1,5,100,0.8
43,1.0,4.480134010314941,0.0019998550415039062,0.8,0.2,7,200,0.8
44,0.9761904761904762,4.359553098678589,0.0020093917846679688,0.8,0.1,5,50,1.0
45,0.8809523809523809,4.323020696640015,0.0016741752624511719,0.8,0.2,7,200,0.8
46,0.9047619047619048,4.371951341629028,0.0,1.0,0.1,5,50,0.8
47,0.8809523809523809,4.6787519454956055,0.0009987354278564453,0.8,0.1,3,100,1.0
48,0.8809523809523809,4.523771524429321,0.0020024776458740234,0.8,0.1,3,100,1.0
49,0.9523809523809523,4.55957555770874,0.0019996166229248047,0.8,0.2,5,50,0.8
50,0.8095238095238095,4.487513303756714,0.0020046234130859375,1.0,0.2,7,100,0.8
