Fold,Accuracy,Training_Time,Prediction_Time
1,0.9285714285714286,0.0,0.0076236724853515625
2,0.8333333333333334,0.0026895999908447266,0.0
3,0.8809523809523809,0.0,0.003239154815673828
4,0.9047619047619048,0.001617431640625,0.0
5,0.9285714285714286,0.001383066177368164,0.0
6,0.9047619047619048,0.0015070438385009766,0.0
7,0.8095238095238095,0.0,0.0028481483459472656
8,0.8095238095238095,0.0008907318115234375,0.0
9,0.9761904761904762,0.0020554065704345703,0.0
10,0.9523809523809523,0.0,0.0
11,0.9047619047619048,0.0,0.0
12,0.8571428571428571,0.005124330520629883,0.0010120868682861328
13,0.8333333333333334,0.0010120868682861328,0.0010471343994140625
14,0.9523809523809523,0.0,0.0016322135925292969
15,0.9285714285714286,0.0010526180267333984,0.0
16,0.9047619047619048,0.0010292530059814453,0.0009253025054931641
17,0.9047619047619048,0.0010190010070800781,0.0
18,0.9285714285714286,0.0010044574737548828,0.0
19,0.8333333333333334,0.0,0.0
20,0.9047619047619048,0.0025458335876464844,0.0
21,0.8809523809523809,0.0010695457458496094,0.0
22,0.8571428571428571,0.0,0.0
23,0.9285714285714286,0.0,0.0
24,0.8809523809523809,0.0,0.007312297821044922
25,0.9523809523809523,0.0011265277862548828,0.0
26,0.8809523809523809,0.0,0.0
27,0.9047619047619048,0.0,0.0
28,0.8571428571428571,0.0,0.0
29,0.8571428571428571,0.0072269439697265625,0.0
30,0.9285714285714286,0.0005984306335449219,0.0
31,0.9047619047619048,0.0020062923431396484,0.0
32,0.9047619047619048,0.001882314682006836,0.0011410713195800781
33,0.8333333333333334,0.002710103988647461,0.0
34,0.8333333333333334,0.0,0.0
35,1.0,0.0063114166259765625,0.0
36,0.8095238095238095,0.0,0.0028543472290039062
37,0.9285714285714286,0.0,0.0036690235137939453
38,0.9047619047619048,0.0019986629486083984,0.0010857582092285156
39,0.9285714285714286,0.0032033920288085938,0.0010590553283691406
40,0.9523809523809523,0.0013756752014160156,0.0
41,0.9761904761904762,0.0,0.0
42,0.7857142857142857,0.0,0.0
43,0.9047619047619048,0.005671977996826172,0.0003542900085449219
44,0.9761904761904762,0.0015728473663330078,0.0
45,0.8571428571428571,0.0021331310272216797,0.0
46,0.9047619047619048,0.0,0.0
47,0.8809523809523809,0.0,0.0
48,0.8809523809523809,0.005720615386962891,0.0
49,0.9523809523809523,0.0016179084777832031,0.0
50,0.9047619047619048,0.0021398067474365234,0.0
