fold,accuracy,training_time,prediction_time,var_smoothing
1,0.8095238095238095,5.3294517993927,0.0,1e-05
2,0.8809523809523809,0.08848977088928223,0.0,1e-05
3,0.7857142857142857,0.08711433410644531,0.0,1e-05
4,0.7142857142857143,0.11760234832763672,0.0,1e-06
5,0.6428571428571429,0.08751440048217773,0.0,0.01
6,0.8571428571428571,0.10210466384887695,0.0,0.001
7,0.8333333333333334,0.10363364219665527,0.0,1e-07
8,0.6666666666666666,0.08930087089538574,0.0,1e-09
9,0.7380952380952381,0.07381963729858398,0.0,1e-06
10,0.7857142857142857,0.09703803062438965,0.0,0.1
11,0.7380952380952381,0.09437799453735352,0.0,1e-09
12,0.8571428571428571,0.0932159423828125,0.002808809280395508,1e-05
13,0.7619047619047619,0.09354400634765625,0.0,0.01
14,0.7142857142857143,0.08656501770019531,0.0,0.1
15,0.8333333333333334,0.07940983772277832,0.0,0.01
16,0.6904761904761905,0.10078787803649902,0.0,1e-08
17,0.7380952380952381,0.08037424087524414,0.0,0.1
18,0.7142857142857143,0.0827338695526123,0.0,0.0001
19,0.8095238095238095,0.08308696746826172,0.0,1e-06
20,0.9047619047619048,0.10204148292541504,0.0,0.01
21,0.8095238095238095,0.09894227981567383,0.0012133121490478516,0.01
22,0.7619047619047619,0.07995009422302246,0.0,1e-09
23,0.6904761904761905,0.10445785522460938,0.0,1.0
24,0.8095238095238095,0.09717202186584473,0.0,0.01
25,0.6904761904761905,0.08804488182067871,0.0,1e-09
26,0.8571428571428571,0.08232951164245605,0.0,0.01
27,0.7380952380952381,0.09439754486083984,0.0,1e-06
28,0.7619047619047619,0.09917688369750977,0.0,0.01
29,0.7857142857142857,0.10174059867858887,0.0,1e-07
30,0.8095238095238095,0.08260846138000488,0.0,0.001
31,0.7619047619047619,0.09043216705322266,0.0,1e-06
32,0.8571428571428571,0.07865285873413086,0.0,0.0001
33,0.8333333333333334,0.08794689178466797,0.0,1e-09
34,0.7619047619047619,0.09276533126831055,0.0,1e-09
35,0.7142857142857143,0.10777640342712402,0.0,1e-05
36,0.7619047619047619,0.08029794692993164,0.0,0.01
37,0.7619047619047619,0.07457876205444336,0.0,1e-06
38,0.7857142857142857,0.08400988578796387,0.0,0.01
39,0.8333333333333334,0.08587813377380371,0.0,1e-06
40,0.7142857142857143,0.13251614570617676,0.0,0.01
41,0.7857142857142857,0.09572911262512207,0.0,1e-05
42,0.7857142857142857,0.09881186485290527,0.0,1e-05
43,0.8571428571428571,0.11058807373046875,0.0,0.001
44,0.7380952380952381,0.09035253524780273,0.0,0.01
45,0.7857142857142857,0.09164643287658691,0.0,0.001
46,0.7619047619047619,0.09457635879516602,0.0,0.01
47,0.7619047619047619,0.09572172164916992,0.0,1e-05
48,0.8333333333333334,0.08171224594116211,0.0,1e-09
49,0.8095238095238095,0.09196877479553223,0.0,0.0001
50,0.8095238095238095,0.0883016586303711,0.0,0.1
