Fold,Accuracy,Training_Time,Prediction_Time
1,0.9285714285714286,0.1829385757446289,0.0
2,0.8809523809523809,0.20851564407348633,0.0
3,0.8571428571428571,0.21657204627990723,0.0013375282287597656
4,0.9047619047619048,0.19246196746826172,0.0
5,0.9047619047619048,0.1905369758605957,0.0
6,0.9523809523809523,0.18739986419677734,0.0020072460174560547
7,0.8095238095238095,0.20279860496520996,0.00098419189453125
8,0.8809523809523809,0.14847660064697266,0.016110897064208984
9,0.9285714285714286,0.16063356399536133,0.014921903610229492
10,0.9523809523809523,0.1846022605895996,0.0
11,0.9047619047619048,0.18778753280639648,0.0019085407257080078
12,0.8809523809523809,0.1922299861907959,0.0012407302856445312
13,0.8333333333333334,0.17659926414489746,0.0007116794586181641
14,0.8809523809523809,0.18976044654846191,0.0009860992431640625
15,0.8571428571428571,0.18978643417358398,0.0
16,0.8809523809523809,0.18684864044189453,0.0018429756164550781
17,0.8809523809523809,0.18323612213134766,0.0010445117950439453
18,0.8809523809523809,0.1802995204925537,0.0
19,0.8809523809523809,0.19541025161743164,0.0009984970092773438
20,0.8333333333333334,0.17682766914367676,0.0
21,0.9047619047619048,0.1772480010986328,0.0
22,0.8333333333333334,0.17272400856018066,0.0
23,0.8571428571428571,0.17437338829040527,0.0
24,0.8571428571428571,0.15664172172546387,0.0
25,0.9285714285714286,0.18552207946777344,0.0
26,0.9285714285714286,0.16664338111877441,0.0
27,0.8333333333333334,0.17435407638549805,0.0
28,0.8095238095238095,0.16627216339111328,0.0
29,0.9285714285714286,0.17616033554077148,0.0
30,0.8571428571428571,0.17714166641235352,0.0
31,0.8809523809523809,0.17179179191589355,0.0
32,0.8571428571428571,0.1759953498840332,0.0
33,0.9047619047619048,0.1689305305480957,0.0
34,0.9285714285714286,0.17266225814819336,0.0
35,0.8333333333333334,0.17562532424926758,0.0
36,0.8571428571428571,0.1763620376586914,0.0
37,0.9047619047619048,0.17123889923095703,0.0
38,0.9285714285714286,0.17598795890808105,0.0
39,0.9285714285714286,0.1693885326385498,0.0
40,0.9285714285714286,0.16376495361328125,0.0
41,0.9285714285714286,0.1755657196044922,0.0
42,0.7619047619047619,0.15585780143737793,0.0
43,0.9761904761904762,0.17640066146850586,0.0
44,0.9523809523809523,0.16769814491271973,0.0
45,0.8095238095238095,0.1650559902191162,0.0
46,0.9285714285714286,0.17626667022705078,0.0
47,0.8571428571428571,0.1772778034210205,0.0
48,0.9761904761904762,0.16233539581298828,0.0
49,0.9285714285714286,0.17738747596740723,0.0
50,0.8095238095238095,0.16643714904785156,0.0
