Fold,Accuracy,Training_Time,Prediction_Time,Convergence_Warning
1,0.9047619047619048,0.011504650115966797,0.0010013580322265625,True
2,0.8095238095238095,0.005016803741455078,0.0,True
3,0.8571428571428571,0.004474163055419922,0.0,True
4,0.8571428571428571,0.0030100345611572266,0.0,True
5,0.8095238095238095,0.005738973617553711,0.0,True
6,0.9047619047619048,0.004786252975463867,0.0,True
7,0.7619047619047619,0.00255584716796875,0.0,True
8,0.8095238095238095,0.007275104522705078,0.0010004043579101562,True
9,0.9523809523809523,0.0029990673065185547,0.0,True
10,0.9285714285714286,0.0034782886505126953,0.002080678939819336,True
11,0.8571428571428571,0.0054395198822021484,0.0,True
12,0.8333333333333334,0.0021245479583740234,0.0,True
13,0.8095238095238095,0.0027992725372314453,0.000997304916381836,True
14,0.9285714285714286,0.0025026798248291016,0.0,True
15,0.9047619047619048,0.0047872066497802734,0.0,True
16,0.8809523809523809,0.0029990673065185547,0.0,True
17,0.8333333333333334,0.005266666412353516,0.0,True
18,0.9285714285714286,0.004109859466552734,0.0,True
19,0.8571428571428571,0.008266687393188477,0.0,True
20,0.8571428571428571,0.003437042236328125,0.0,True
21,0.9047619047619048,0.003476381301879883,0.0,True
22,0.8571428571428571,0.002901792526245117,0.0,True
23,0.8571428571428571,0.0,0.0,True
24,0.7857142857142857,0.0027751922607421875,0.0,True
25,0.9047619047619048,0.0038597583770751953,0.0,True
26,0.8809523809523809,0.0024242401123046875,0.0,True
27,0.8333333333333334,0.0,0.0,True
28,0.8333333333333334,0.007681608200073242,0.0,True
29,0.8809523809523809,0.0,0.0,True
30,0.9285714285714286,0.0,0.0,True
31,0.8809523809523809,0.008225202560424805,0.0010061264038085938,True
32,0.9047619047619048,0.0,0.0,True
33,0.8571428571428571,0.0074388980865478516,0.0,True
34,0.7857142857142857,0.0015368461608886719,0.0,True
35,0.9285714285714286,0.0,0.0,True
36,0.8095238095238095,0.008077621459960938,0.0,True
37,0.8333333333333334,0.0015060901641845703,0.0,True
38,0.8571428571428571,0.0064699649810791016,0.0,True
39,0.9047619047619048,0.0038521289825439453,0.0,True
40,0.9523809523809523,0.0028619766235351562,0.0,True
41,0.9523809523809523,0.002756357192993164,0.0,True
42,0.7380952380952381,0.00459742546081543,0.0,True
43,0.8809523809523809,0.0,0.0,True
44,0.9523809523809523,0.007200717926025391,0.0,True
45,0.8333333333333334,0.0,0.0,True
46,0.8095238095238095,0.008753061294555664,0.0010077953338623047,True
47,0.9047619047619048,0.0059070587158203125,0.0,True
48,0.8809523809523809,0.0024137496948242188,0.0,True
49,0.8809523809523809,0.003968000411987305,0.0,True
50,0.8571428571428571,0.005186796188354492,0.0012011528015136719,True
