Fold,Accuracy,Training_Time,Prediction_Time,Var_Smoothing_Effect,Class_Prior_0,Class_Prior_1,Class_Prior_2
1,0.8809523809523809,0.0023725032806396484,0.0,1.57622728850672e-11,0.32142857142857145,0.35714285714285715,0.32142857142857145
2,0.6428571428571429,0.001997232437133789,0.0010006427764892578,1.4601319247022212e-11,0.32142857142857145,0.31547619047619047,0.3630952380952381
3,0.7857142857142857,0.0025653839111328125,0.0010173320770263672,1.4705326172441215e-11,0.34523809523809523,0.32142857142857145,0.3333333333333333
4,0.8809523809523809,0.0009953975677490234,0.0010039806365966797,1.606299160436253e-11,0.3333333333333333,0.3392857142857143,0.3273809523809524
5,0.7619047619047619,0.001996278762817383,0.0,1.5570836435075504e-11,0.34523809523809523,0.3333333333333333,0.32142857142857145
6,0.8333333333333334,0.0009984970092773438,0.0012402534484863281,1.591546684581405e-11,0.31547619047619047,0.3333333333333333,0.35119047619047616
7,0.6190476190476191,0.0010020732879638672,0.0,1.4529556139292189e-11,0.27976190476190477,0.35714285714285715,0.3630952380952381
8,0.8333333333333334,0.0019986629486083984,0.0,1.503498176190108e-11,0.3392857142857143,0.31547619047619047,0.34523809523809523
9,0.8571428571428571,0.0010006427764892578,0.0,1.531743445583509e-11,0.375,0.3273809523809524,0.2976190476190476
10,0.8333333333333334,0.0010008811950683594,0.0003871917724609375,1.5807794715412166e-11,0.35714285714285715,0.3333333333333333,0.30952380952380953
11,0.9047619047619048,0.0010433197021484375,0.0,1.577586505766899e-11,0.30357142857142855,0.3630952380952381,0.3333333333333333
12,0.8333333333333334,0.0012896060943603516,0.0,1.50861567590023e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
13,0.6904761904761905,0.001268148422241211,0.0,1.5235506713345766e-11,0.34523809523809523,0.3273809523809524,0.3273809523809524
14,0.8571428571428571,0.0,0.0,1.5421206853937086e-11,0.35714285714285715,0.30357142857142855,0.3392857142857143
15,0.8095238095238095,0.0,0.0,1.5256170331049817e-11,0.3273809523809524,0.3392857142857143,0.3333333333333333
16,0.8333333333333334,0.0,0.0,1.4803808117164438e-11,0.34523809523809523,0.31547619047619047,0.3392857142857143
17,0.9285714285714286,0.0006773471832275391,0.0,1.593662004095901e-11,0.3273809523809524,0.3630952380952381,0.30952380952380953
18,0.7857142857142857,0.0,0.0,1.5747839050294023e-11,0.3273809523809524,0.3273809523809524,0.34523809523809523
19,0.8095238095238095,0.0,0.0,1.4981801306133737e-11,0.3273809523809524,0.32142857142857145,0.35119047619047616
20,0.8333333333333334,0.0,0.0,1.5098620877956038e-11,0.3392857142857143,0.3392857142857143,0.32142857142857145
21,0.8571428571428571,0.0,0.0,1.5252345770952867e-11,0.32142857142857145,0.31547619047619047,0.3630952380952381
22,0.7619047619047619,0.0,0.0,1.5554926561747208e-11,0.34523809523809523,0.3333333333333333,0.32142857142857145
23,0.8095238095238095,0.0,0.0,1.5333479656804725e-11,0.3333333333333333,0.35119047619047616,0.31547619047619047
24,0.8333333333333334,0.0,0.0,1.512647189107101e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
25,0.8333333333333334,0.0,0.0,1.5376115380514565e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
26,0.8333333333333334,0.0,0.0,1.5369680868353696e-11,0.36904761904761907,0.30952380952380953,0.32142857142857145
