Fold,Accuracy,Training_Time,Prediction_Time
1,1.0,0.17195463180541992,0.0
2,0.9285714285714286,0.24471664428710938,0.0
3,0.9523809523809523,0.19891142845153809,0.0
4,0.9285714285714286,0.22373270988464355,0.0
5,0.8809523809523809,0.22915410995483398,0.0
6,0.9285714285714286,0.22938752174377441,0.0009484291076660156
7,0.8571428571428571,0.2609705924987793,0.0
8,0.9047619047619048,0.2309131622314453,0.0
9,0.9523809523809523,0.23175716400146484,0.0
10,0.8809523809523809,0.20529508590698242,0.000982522964477539
11,0.8571428571428571,0.2274162769317627,0.0
12,0.9047619047619048,0.19428396224975586,0.0
13,0.9047619047619048,0.23407649993896484,0.0
14,0.9047619047619048,0.22486066818237305,0.0
15,1.0,0.21449875831604004,0.0
16,0.9285714285714286,0.20042800903320312,0.0
17,0.9285714285714286,0.2000293731689453,0.0
18,0.9285714285714286,0.1960761547088623,0.0
19,0.8571428571428571,0.18760085105895996,0.0
20,0.9285714285714286,0.18592476844787598,0.0
21,0.9285714285714286,0.18755054473876953,0.0
22,0.9523809523809523,0.21294379234313965,0.0
23,0.8333333333333334,0.21355223655700684,0.0
24,1.0,0.18099570274353027,0.0
25,0.8571428571428571,0.2000443935394287,0.0
26,0.9047619047619048,0.17716693878173828,0.0
27,0.9047619047619048,0.20403575897216797,0.0
28,0.9285714285714286,0.17474913597106934,0.0
29,0.8809523809523809,0.2029094696044922,0.0
30,0.9047619047619048,0.21177077293395996,0.0
31,0.9047619047619048,0.2098388671875,0.00045943260192871094
32,0.9761904761904762,0.2183377742767334,0.0
33,0.9047619047619048,0.19273114204406738,0.0
34,0.9523809523809523,0.2306840419769287,0.0
35,0.9047619047619048,0.2393171787261963,0.0010035037994384766
36,0.9285714285714286,0.26642274856567383,0.0
37,0.8809523809523809,0.2398056983947754,0.0
38,0.9523809523809523,0.24209165573120117,0.0
39,0.9285714285714286,0.22687530517578125,0.0
40,0.9047619047619048,0.24752068519592285,0.0
41,0.8333333333333334,0.24152588844299316,0.0
42,0.9761904761904762,0.238264799118042,0.0
43,0.9761904761904762,0.23685646057128906,0.0
44,0.8809523809523809,0.2415933609008789,0.0
45,0.9523809523809523,0.25681543350219727,0.0
46,0.8095238095238095,0.23441410064697266,0.0
47,0.9523809523809523,0.23502850532531738,0.0
48,0.9285714285714286,0.23224687576293945,0.00041413307189941406
49,0.9047619047619048,0.24794769287109375,0.0
50,0.9285714285714286,0.25745391845703125,0.0
