Fold,Accuracy,Training_Time,Prediction_Time
1,0.8378378378378378,0.13187670707702637,0.0010051727294921875
2,0.8918918918918919,0.09838318824768066,0.0015265941619873047
3,0.8333333333333334,0.07002925872802734,0.0009984970092773438
4,0.8333333333333334,0.08018279075622559,0.001506805419921875
5,0.8888888888888888,0.1415109634399414,0.0025539398193359375
6,0.8918918918918919,0.09398484230041504,0.0015027523040771484
7,0.8108108108108109,0.09082436561584473,0.002005338668823242
8,0.8611111111111112,0.11991310119628906,0.0045778751373291016
9,0.9166666666666666,0.0852968692779541,0.0009951591491699219
10,0.9166666666666666,0.07911324501037598,0.001220703125
11,0.972972972972973,0.0946354866027832,0.0020377635955810547
12,0.8918918918918919,0.09243917465209961,0.0009987354278564453
13,0.9166666666666666,0.1040647029876709,0.0015053749084472656
14,0.7222222222222222,0.08118200302124023,0.0009996891021728516
15,0.8333333333333334,0.07732701301574707,0.0010018348693847656
16,0.8108108108108109,0.07182574272155762,0.0015060901641845703
17,0.972972972972973,0.10651898384094238,0.0010118484497070312
18,0.7222222222222222,0.11005163192749023,0.0010035037994384766
19,0.8611111111111112,0.18108773231506348,0.0015034675598144531
20,0.9444444444444444,0.19313907623291016,0.0009965896606445312
21,0.918918918918919,0.1681077480316162,0.0010042190551757812
22,0.8648648648648649,0.0889580249786377,0.0009982585906982422
23,0.8611111111111112,0.08352327346801758,0.001008749008178711
24,0.9166666666666666,0.1014394760131836,0.0010051727294921875
25,0.8888888888888888,0.09218215942382812,0.0010068416595458984
26,0.8648648648648649,0.08393430709838867,0.001505136489868164
27,0.8648648648648649,0.10106492042541504,0.0010063648223876953
28,0.8611111111111112,0.10120749473571777,0.0010051727294921875
29,0.8055555555555556,0.0786592960357666,0.0010008811950683594
30,0.7777777777777778,0.07742524147033691,0.0010001659393310547
31,0.8918918918918919,0.11114835739135742,0.0015110969543457031
32,0.918918918918919,0.10622310638427734,0.001008749008178711
33,0.7222222222222222,0.07881569862365723,0.0009984970092773438
34,0.8333333333333334,0.09335827827453613,0.0010066032409667969
35,0.9444444444444444,0.10907649993896484,0.002298116683959961
36,0.918918918918919,0.0922853946685791,0.0010006427764892578
37,0.8108108108108109,0.09183740615844727,0.0010089874267578125
38,0.8333333333333334,0.0769813060760498,0.0010044574737548828
39,0.8055555555555556,0.07639384269714355,0.0015058517456054688
40,0.8611111111111112,0.06882166862487793,0.0013587474822998047
41,0.8378378378378378,0.0917348861694336,0.0019986629486083984
42,0.8378378378378378,0.07191300392150879,0.0010068416595458984
43,0.9444444444444444,0.07669401168823242,0.0008041858673095703
44,0.8611111111111112,0.06784605979919434,0.0010144710540771484
45,0.9722222222222222,0.08885073661804199,0.0015273094177246094
46,0.8648648648648649,0.06311655044555664,0.002008676528930664
47,0.8648648648648649,0.07887148857116699,0.0009951591491699219
48,0.8611111111111112,0.07293558120727539,0.0015063285827636719
49,0.8888888888888888,0.07422113418579102,0.0009992122650146484
50,0.9722222222222222,0.07381343841552734,0.001972675323486328
