Fold,Accuracy,Training_Time,Prediction_Time
1,0.8809523809523809,0.19068169593811035,0.0
2,0.8333333333333334,0.18756341934204102,0.0
3,0.8809523809523809,0.20145559310913086,0.0
4,0.8571428571428571,0.20069026947021484,0.0
5,0.9285714285714286,0.19168782234191895,0.0
6,0.9285714285714286,0.17519903182983398,0.0
7,0.7142857142857143,0.19719600677490234,0.0009899139404296875
8,0.8571428571428571,0.16820907592773438,0.0
9,0.8571428571428571,0.17568278312683105,0.0
10,0.9285714285714286,0.16634297370910645,0.0
11,0.8095238095238095,0.1727001667022705,0.0
12,0.9285714285714286,0.17918610572814941,0.0
13,0.7857142857142857,0.18585491180419922,0.0
14,0.8809523809523809,0.17657208442687988,0.0
15,0.9047619047619048,0.19563794136047363,0.0
16,0.8333333333333334,0.17522168159484863,0.0
17,0.9285714285714286,0.18274831771850586,0.0
18,0.9285714285714286,0.17242932319641113,0.0009963512420654297
19,0.7619047619047619,0.18793225288391113,0.0
20,0.8571428571428571,0.18170714378356934,0.0
21,0.9523809523809523,0.1722421646118164,0.0
22,0.7857142857142857,0.19210028648376465,0.0
23,0.8809523809523809,0.19364285469055176,0.0
24,0.8571428571428571,0.17242908477783203,0.0
25,0.9047619047619048,0.17386198043823242,0.0
26,0.9761904761904762,0.1750016212463379,0.0
27,0.8095238095238095,0.18438100814819336,0.0
28,0.7857142857142857,0.1637256145477295,0.0
29,0.8809523809523809,0.16864633560180664,0.0
30,0.8333333333333334,0.19174766540527344,0.0
31,0.8095238095238095,0.16466736793518066,0.0
32,0.9285714285714286,0.18550491333007812,0.0
33,0.9523809523809523,0.1746048927307129,0.0
34,0.9047619047619048,0.16919422149658203,0.0
35,0.9047619047619048,0.17863011360168457,0.0
36,0.8095238095238095,0.16880130767822266,0.0
37,0.8571428571428571,0.18552136421203613,0.0
38,0.9523809523809523,0.18130230903625488,0.0
39,0.9285714285714286,0.1740093231201172,0.0
40,0.9047619047619048,0.16769075393676758,0.0
41,0.9285714285714286,0.17328596115112305,0.0
42,0.7380952380952381,0.18497395515441895,0.0
43,1.0,0.17525625228881836,0.0
44,0.8809523809523809,0.1655750274658203,0.0
45,0.8095238095238095,0.1756725311279297,0.0
46,0.9285714285714286,0.1607193946838379,0.0
47,0.8571428571428571,0.17246627807617188,0.0
48,0.8809523809523809,0.16598844528198242,0.0
49,0.9285714285714286,0.1655590534210205,0.0
50,0.8095238095238095,0.17505526542663574,0.0
