Fold,Accuracy,Training_Time,Prediction_Time
1,0.9285714285714286,0.34667158126831055,0.0
2,0.8809523809523809,0.3662874698638916,0.0
3,0.8809523809523809,0.3305544853210449,0.0
4,0.8809523809523809,0.34609341621398926,0.0
5,0.8095238095238095,0.3266937732696533,0.0
6,0.9047619047619048,0.3399477005004883,0.0
7,0.8095238095238095,0.3674309253692627,0.0
8,0.8333333333333334,0.3600449562072754,0.0
9,0.9285714285714286,0.35965752601623535,0.0
10,1.0,0.3458092212677002,0.002011537551879883
11,0.9047619047619048,0.35372138023376465,0.0
12,0.8333333333333334,0.33752894401550293,0.0
13,0.8571428571428571,0.34677934646606445,0.0
14,0.9285714285714286,0.35033750534057617,0.0
15,0.9285714285714286,0.33963823318481445,0.0
16,0.8809523809523809,0.3376004695892334,0.0
17,0.9047619047619048,0.34139037132263184,0.0
18,0.9285714285714286,0.37584424018859863,0.0
19,0.8809523809523809,0.3572065830230713,0.0003566741943359375
20,0.9047619047619048,0.35936856269836426,0.0
21,0.9047619047619048,0.3413529396057129,0.0
22,0.8809523809523809,0.3415250778198242,0.0
23,0.9285714285714286,0.3470582962036133,0.0
24,0.8095238095238095,0.34549880027770996,0.0
25,0.9285714285714286,0.3560917377471924,0.0
26,0.9523809523809523,0.3563106060028076,0.0
27,0.9047619047619048,0.34516286849975586,0.0
28,0.8809523809523809,0.33205699920654297,0.0
29,0.8809523809523809,0.3485085964202881,0.0
30,0.9047619047619048,0.35290956497192383,0.004197597503662109
31,0.8809523809523809,0.3369593620300293,0.0
32,0.9047619047619048,0.33918118476867676,0.0
33,0.8333333333333334,0.32820701599121094,0.0
34,0.8333333333333334,0.3223385810852051,0.0
35,0.9285714285714286,0.3562283515930176,0.0
36,0.8095238095238095,0.35837268829345703,0.0
37,0.8333333333333334,0.36340880393981934,0.0
38,0.8809523809523809,0.34407830238342285,0.0
39,0.9523809523809523,0.3460965156555176,0.0
40,0.9523809523809523,0.35265088081359863,0.0
41,0.9761904761904762,0.3471062183380127,0.0
42,0.7857142857142857,0.3555638790130615,0.0
43,0.9523809523809523,0.33254528045654297,0.0
44,0.9761904761904762,0.33719921112060547,0.0
45,0.8333333333333334,0.34157323837280273,0.0
46,0.8333333333333334,0.35001325607299805,0.0
47,0.9047619047619048,0.3522500991821289,0.0
48,0.9047619047619048,0.38480448722839355,0.0
49,0.8809523809523809,0.34552741050720215,0.0
50,0.8809523809523809,0.3316378593444824,0.0
