Fold,Accuracy,Training_Time,Prediction_Time
1,0.8378378378378378,0.005451202392578125,0.001001119613647461
2,0.918918918918919,0.002000570297241211,0.0
3,0.8333333333333334,0.002015829086303711,0.0
4,0.8888888888888888,0.00200653076171875,0.0
5,0.9166666666666666,0.0031745433807373047,0.0
6,0.8378378378378378,0.0,0.002007007598876953
7,0.8648648648648649,0.0022754669189453125,0.0
8,0.8055555555555556,0.0015683174133300781,0.0
9,0.9444444444444444,0.0010089874267578125,0.0010030269622802734
10,0.9166666666666666,0.0004849433898925781,0.0
11,0.8648648648648649,0.0015323162078857422,0.0
12,0.9459459459459459,0.0010082721710205078,0.0009989738464355469
13,0.9444444444444444,0.0010046958923339844,0.0010027885437011719
14,0.7777777777777778,0.0009968280792236328,0.0
15,0.8333333333333334,0.0010004043579101562,0.0
16,0.8378378378378378,0.001001119613647461,0.0
17,0.8918918918918919,0.001508951187133789,0.0
18,0.8611111111111112,0.0,0.0
19,0.8611111111111112,0.005448102951049805,0.0
20,0.9166666666666666,0.0009982585906982422,0.0009999275207519531
21,0.8918918918918919,0.001001119613647461,0.0
22,0.9459459459459459,0.0013425350189208984,0.0
23,0.8611111111111112,0.0,0.0
24,0.8611111111111112,0.0010061264038085938,0.0
25,0.9444444444444444,0.0007395744323730469,0.0
26,0.9459459459459459,0.0022535324096679688,0.0
27,0.8918918918918919,0.0015037059783935547,0.0
28,0.9166666666666666,0.0017478466033935547,0.0
29,0.8611111111111112,0.0020062923431396484,0.004998922348022461
30,0.8055555555555556,0.0015103816986083984,0.0005528926849365234
31,0.8648648648648649,0.0009021759033203125,0.0
32,0.972972972972973,0.0,0.0
33,0.8055555555555556,0.0,0.0
34,0.8611111111111112,0.005768775939941406,0.0010223388671875
35,0.9722222222222222,0.0010056495666503906,0.0
36,0.8378378378378378,0.0015382766723632812,0.0
37,0.918918918918919,0.002018451690673828,0.0012500286102294922
38,0.8333333333333334,0.0032041072845458984,0.0
39,0.8888888888888888,0.001859426498413086,0.0011742115020751953
40,0.8611111111111112,0.0,0.0
41,0.7567567567567568,0.004119396209716797,0.0
42,0.8648648648648649,0.0012218952178955078,0.0
43,0.9444444444444444,0.0018165111541748047,0.0007147789001464844
44,0.8888888888888888,0.002369403839111328,0.0
45,0.9166666666666666,0.0,0.0020101070404052734
46,0.8918918918918919,0.0,0.0
47,0.918918918918919,0.0020058155059814453,0.0
48,0.8611111111111112,0.000713348388671875,0.0
49,0.8888888888888888,0.0,0.0
50,0.9722222222222222,0.0,0.0
