Accuracy,Fold
0.813953488372093,1
0.7857142857142857,2
0.6428571428571429,3
0.8095238095238095,4
0.8333333333333334,5
0.8604651162790697,6
0.6428571428571429,7
0.7380952380952381,8
0.8333333333333334,9
0.8571428571428571,10
0.8604651162790697,11
0.8095238095238095,12
0.7857142857142857,13
0.8333333333333334,14
0.7380952380952381,15
0.8372093023255814,16
0.8333333333333334,17
0.8333333333333334,18
0.7142857142857143,19
0.7380952380952381,20
0.7674418604651163,21
0.8095238095238095,22
0.8095238095238095,23
0.8571428571428571,24
0.7857142857142857,25
0.9069767441860465,26
0.7857142857142857,27
0.7142857142857143,28
0.8333333333333334,29
0.7142857142857143,30
0.813953488372093,31
0.8095238095238095,32
0.7857142857142857,33
0.7619047619047619,34
0.8095238095238095,35
0.9069767441860465,36
0.6666666666666666,37
0.6666666666666666,38
0.7857142857142857,39
0.8571428571428571,40
0.7441860465116279,41
0.7857142857142857,42
0.8095238095238095,43
0.8809523809523809,44
0.7619047619047619,45
0.8372093023255814,46
0.8571428571428571,47
0.7619047619047619,48
0.7619047619047619,49
0.7380952380952381,50
