Accuracy,Fold
0.9047619047619048,1
0.7857142857142857,2
0.8333333333333334,3
0.8809523809523809,4
0.8571428571428571,5
0.8809523809523809,6
0.6904761904761905,7
0.8095238095238095,8
0.8809523809523809,9
0.8809523809523809,10
0.8333333333333334,11
0.8095238095238095,12
0.8095238095238095,13
0.9047619047619048,14
0.8333333333333334,15
0.8571428571428571,16
0.8333333333333334,17
0.9047619047619048,18
0.8571428571428571,19
0.8571428571428571,20
0.7857142857142857,21
0.8809523809523809,22
0.8333333333333334,23
0.8095238095238095,24
0.8809523809523809,25
0.8333333333333334,26
0.8571428571428571,27
0.8095238095238095,28
0.9047619047619048,29
0.8809523809523809,30
0.9047619047619048,31
0.8809523809523809,32
0.8571428571428571,33
0.7142857142857143,34
0.9523809523809523,35
0.8095238095238095,36
0.7857142857142857,37
0.7380952380952381,38
0.9047619047619048,39
0.9047619047619048,40
0.8571428571428571,41
0.6904761904761905,42
0.8333333333333334,43
0.9047619047619048,44
0.8809523809523809,45
0.7857142857142857,46
0.8571428571428571,47
0.8571428571428571,48
0.8809523809523809,49
0.8333333333333334,50
