Accuracy,Fold
0.8378378378378378,1
0.7567567567567568,2
0.6944444444444444,3
0.8055555555555556,4
0.8611111111111112,5
0.6756756756756757,6
0.8378378378378378,7
0.8055555555555556,8
0.8333333333333334,9
0.8611111111111112,10
0.7297297297297297,11
0.918918918918919,12
0.8611111111111112,13
0.7777777777777778,14
0.7777777777777778,15
0.8378378378378378,16
0.8918918918918919,17
0.8333333333333334,18
0.7222222222222222,19
0.8888888888888888,20
0.8648648648648649,21
0.8108108108108109,22
0.75,23
0.8333333333333334,24
0.8888888888888888,25
0.8378378378378378,26
0.8378378378378378,27
0.8611111111111112,28
0.75,29
0.75,30
0.8378378378378378,31
0.8378378378378378,32
0.6944444444444444,33
0.8333333333333334,34
0.9444444444444444,35
0.7837837837837838,36
0.8108108108108109,37
0.6944444444444444,38
0.8611111111111112,39
0.8611111111111112,40
0.8108108108108109,41
0.7567567567567568,42
0.8055555555555556,43
0.9444444444444444,44
0.8611111111111112,45
0.8108108108108109,46
0.8918918918918919,47
0.8333333333333334,48
0.75,49
0.8611111111111112,50
