Fold,Accuracy,Training_Time,Prediction_Time,Var_Smoothing_Effect,Class_Prior_0,Class_Prior_1,Class_Prior_2
1,0.8095238095238095,0.00512385368347168,0.0007672309875488281,2.0002667439159497e-11,0.35119047619047616,0.3333333333333333,0.31547619047619047
2,0.8809523809523809,0.0,0.005558967590332031,2.0913013876262485e-11,0.31547619047619047,0.3273809523809524,0.35714285714285715
3,0.7857142857142857,0.001971721649169922,0.0,2.0738578904155505e-11,0.3333333333333333,0.3392857142857143,0.3273809523809524
4,0.7142857142857143,0.0025637149810791016,0.0,2.0801619861662007e-11,0.32142857142857145,0.3392857142857143,0.3392857142857143
5,0.6190476190476191,0.0,0.0020096302032470703,2.0073206490419825e-11,0.34523809523809523,0.3273809523809524,0.3273809523809524
6,0.7857142857142857,0.0,0.0,2.063207621140289e-11,0.35119047619047616,0.2916666666666667,0.35714285714285715
7,0.8333333333333334,0.0,0.0025107860565185547,2.067190826816895e-11,0.2976190476190476,0.34523809523809523,0.35714285714285715
8,0.6666666666666666,0.0013103485107421875,0.0,2.070354704178871e-11,0.30357142857142855,0.35119047619047616,0.34523809523809523
9,0.7380952380952381,0.0,0.0,2.0751387888421855e-11,0.35714285714285715,0.34523809523809523,0.2976190476190476
10,0.8095238095238095,0.0,0.006567955017089844,1.975672642223578e-11,0.35714285714285715,0.3333333333333333,0.30952380952380953
11,0.7380952380952381,0.0,0.0,2.073431571910769e-11,0.3273809523809524,0.3392857142857143,0.3333333333333333
12,0.8571428571428571,0.0,0.0,2.0870336781519058e-11,0.31547619047619047,0.35714285714285715,0.3273809523809524
13,0.7619047619047619,0.002007722854614258,0.0,2.0613118872627425e-11,0.3392857142857143,0.3333333333333333,0.3273809523809524
14,0.6904761904761905,0.0,0.0,1.9332851432156208e-11,0.34523809523809523,0.30952380952380953,0.34523809523809523
15,0.8333333333333334,0.0015969276428222656,0.0,2.100027416919784e-11,0.3392857142857143,0.3273809523809524,0.3333333333333333
16,0.6904761904761905,0.0016300678253173828,0.0,1.988264596807429e-11,0.3392857142857143,0.31547619047619047,0.34523809523809523
17,0.7857142857142857,0.0,0.0,2.059245856409837e-11,0.3333333333333333,0.35119047619047616,0.31547619047619047
18,0.7142857142857143,0.0,0.0,2.011196327279023e-11,0.35119047619047616,0.2976190476190476,0.35119047619047616
19,0.8095238095238095,0.0,0.0,2.103818282295315e-11,0.30952380952380953,0.34523809523809523,0.34523809523809523
20,0.9047619047619048,0.0,0.0,2.0887081333552918e-11,0.3333333333333333,0.35714285714285715,0.30952380952380953
21,0.7142857142857143,0.0,0.0,2.0288719652731306e-11,0.3392857142857143,0.30952380952380953,0.35119047619047616
22,0.7619047619047619,0.0,0.0,2.0634238775370004e-11,0.38095238095238093,0.2976190476190476,0.32142857142857145
23,0.8333333333333334,0.0,0.0,2.069794030815477e-11,0.30952380952380953,0.3630952380952381,0.3273809523809524
24,0.8095238095238095,0.0,0.0,2.026256458900265e-11,0.32142857142857145,0.34523809523809523,0.3333333333333333
25,0.6904761904761905,0.0,0.0,2.0449327905497046e-11,0.31547619047619047,0.35119047619047616,0.3333333333333333
26,0.7857142857142857,0.0,0.0,2.0862982410486497e-11,0.3333333333333333,0.35119047619047616,0.31547619047619047
27,0.7380952380952381,0.0,0.0,1.985155969040278e-11,0.3333333333333333,0.3392857142857143,0.3273809523809524
28,0.7619047619047619,0.008432865142822266,0.0,2.022571975737083e-11,0.3392857142857143,0.32142857142857145,0.3392857142857143
29,0.7857142857142857,0.0013458728790283203,0.0,2.1132293236144343e-11,0.3273809523809524,0.3392857142857143,0.3333333333333333
30,0.8095238095238095,0.0,0.0,2.0378123083414396e-11,0.3333333333333333,0.31547619047619047,0.35119047619047616
31,0.7619047619047619,0.0,0.0,2.0698639460297773e-11,0.3333333333333333,0.3392857142857143,0.3273809523809524
32,0.8571428571428571,0.0,0.0,2.0287690424320415e-11,0.34523809523809523,0.3273809523809524,0.3273809523809524
33,0.8333333333333334,0.0010335445404052734,0.0,2.0305844688959902e-11,0.35119047619047616,0.31547619047619047,0.3333333333333333
34,0.7619047619047619,0.0,0.0,2.0880889524957538e-11,0.30952380952380953,0.36904761904761907,0.32142857142857145
35,0.6428571428571429,0.0,0.0,2.028266530788584e-11,0.3273809523809524,0.31547619047619047,0.35714285714285715
36,0.7380952380952381,0.0,0.0,2.0756459215884378e-11,0.3392857142857143,0.30952380952380953,0.35119047619047616
37,0.7619047619047619,0.0,0.0,2.1095073334685017e-11,0.30357142857142855,0.35714285714285715,0.3392857142857143
38,0.7619047619047619,0.0,0.0,1.9652274844702765e-11,0.3392857142857143,0.30952380952380953,0.35119047619047616
39,0.8333333333333334,0.0,0.007590770721435547,2.036810683158779e-11,0.35119047619047616,0.3273809523809524,0.32142857142857145
40,0.7142857142857143,0.00079345703125,0.0,2.0372795420134227e-11,0.3333333333333333,0.3630952380952381,0.30357142857142855
41,0.6904761904761905,0.0,0.0,2.0382329330250827e-11,0.30952380952380953,0.3333333333333333,0.35714285714285715
42,0.7857142857142857,0.002009153366088867,0.0,2.0580481205872076e-11,0.3392857142857143,0.32142857142857145,0.3392857142857143
43,0.8571428571428571,0.0,0.0,2.036234698550281e-11,0.3392857142857143,0.32142857142857145,0.3392857142857143
44,0.7380952380952381,0.0020062923431396484,0.0,2.098743356816339e-11,0.3392857142857143,0.35119047619047616,0.30952380952380953
45,0.7857142857142857,0.0015056133270263672,0.0,2.0154087364414173e-11,0.3392857142857143,0.3392857142857143,0.32142857142857145
46,0.7380952380952381,0.0,0.0020487308502197266,1.9800671307689764e-11,0.35119047619047616,0.3392857142857143,0.30952380952380953
47,0.7619047619047619,0.0,0.0,2.0127893259550217e-11,0.3273809523809524,0.3273809523809524,0.34523809523809523
48,0.8333333333333334,0.002007722854614258,0.0,2.0643364020929882e-11,0.35119047619047616,0.32142857142857145,0.3273809523809524
49,0.8095238095238095,0.0,0.0,2.1027746365305792e-11,0.3392857142857143,0.3333333333333333,0.3273809523809524
50,0.8333333333333334,0.0,0.0,2.077747309773353e-11,0.2976190476190476,0.34523809523809523,0.35714285714285715
