fold,accuracy,training_time,prediction_time,var_smoothing
1,0.9285714285714286,4.172060012817383,0.0,1e-05
2,0.8333333333333334,0.06752276420593262,0.0026047229766845703,0.01
3,0.8571428571428571,0.07979941368103027,0.0,0.001
4,0.9285714285714286,0.0697183609008789,0.0,0.0001
5,0.9285714285714286,0.08025383949279785,0.0,0.001
6,0.8809523809523809,0.0679619312286377,0.0,0.01
7,0.8095238095238095,0.06450200080871582,0.0,0.01
8,0.8571428571428571,0.07744002342224121,0.0,0.01
9,0.9761904761904762,0.07217097282409668,0.0,1e-05
10,0.9285714285714286,0.06587600708007812,0.0,1e-05
11,0.9523809523809523,0.06208181381225586,0.0,1e-05
12,0.8571428571428571,0.07089805603027344,0.0,1e-05
13,0.8095238095238095,0.06488800048828125,0.0,1e-05
14,0.9047619047619048,0.0702362060546875,0.0,0.01
15,0.9047619047619048,0.07516932487487793,0.001108407974243164,0.001
16,0.9047619047619048,0.05959582328796387,0.0,0.001
17,0.8571428571428571,0.07396793365478516,0.0,1e-06
18,0.8809523809523809,0.08903074264526367,0.0,0.01
19,0.8095238095238095,0.06092238426208496,0.0,0.1
20,0.8333333333333334,0.06310582160949707,0.0,1e-07
21,0.8571428571428571,0.06782269477844238,0.0,1e-06
22,0.8571428571428571,0.06207680702209473,0.0,1e-05
23,0.8809523809523809,0.06237673759460449,0.0,0.1
24,0.7857142857142857,0.08826351165771484,0.0,0.0001
25,0.9761904761904762,0.08587241172790527,0.0,0.01
26,0.8571428571428571,0.0791463851928711,0.0,0.001
27,0.9047619047619048,0.07130718231201172,0.0,1e-09
28,0.8809523809523809,0.07071876525878906,0.0,0.001
29,0.8809523809523809,0.07434701919555664,0.0,0.0001
30,0.9285714285714286,0.06694483757019043,0.0,0.01
31,0.9285714285714286,0.06980347633361816,0.0,0.001
32,0.9285714285714286,0.07197737693786621,0.0,0.001
33,0.8333333333333334,0.062052249908447266,0.0,0.01
34,0.8095238095238095,0.07585024833679199,0.0,0.01
35,0.9285714285714286,0.08291769027709961,0.0,0.01
36,0.7619047619047619,0.0831308364868164,0.0,0.001
37,0.9523809523809523,0.05738210678100586,0.0,0.01
38,0.9285714285714286,0.05898237228393555,0.0,0.01
39,0.8571428571428571,0.07611870765686035,0.0,1e-05
40,0.8333333333333334,0.07415199279785156,0.0,1e-08
41,0.9047619047619048,0.06554651260375977,0.0,1e-09
42,0.7857142857142857,0.06205630302429199,0.0,0.01
43,0.8571428571428571,0.06425666809082031,0.0,1e-05
44,1.0,0.08608555793762207,0.0,1e-09
45,0.8809523809523809,0.07176899909973145,0.0,0.001
46,0.8809523809523809,0.061177968978881836,0.0,1e-09
47,0.9285714285714286,0.07479381561279297,0.0,1e-09
48,0.9047619047619048,0.07283639907836914,0.0025207996368408203,0.01
49,0.9047619047619048,0.07516121864318848,0.0,0.01
50,0.8809523809523809,0.0876002311706543,0.0,1e-09
