Fold,Accuracy,Training_Time,Prediction_Time,Convergence_Warning
1,0.8333333333333334,0.0076639652252197266,0.0,True
2,0.7857142857142857,0.0027115345001220703,0.0,True
3,0.8333333333333334,0.006933450698852539,0.0,True
4,0.8095238095238095,0.007524251937866211,0.0,True
5,0.6428571428571429,0.0,0.0,True
6,0.8571428571428571,0.007566213607788086,0.0,True
7,0.7619047619047619,0.0166323184967041,0.0,True
8,0.7619047619047619,0.008604288101196289,0.0,True
9,0.7380952380952381,0.007658958435058594,0.0,True
10,0.7380952380952381,0.008282661437988281,0.0,True
11,0.7380952380952381,0.0,0.0,True
12,0.7380952380952381,0.008318662643432617,0.0,True
13,0.7857142857142857,0.011487960815429688,0.0,True
14,0.7857142857142857,0.0051343441009521484,0.0,True
15,0.8571428571428571,0.007024526596069336,0.0,True
16,0.7619047619047619,0.005541801452636719,0.0,True
17,0.7619047619047619,0.0,0.0,True
18,0.8333333333333334,0.008357524871826172,0.0,True
19,0.8095238095238095,0.00805044174194336,0.0,True
20,0.8571428571428571,0.007308483123779297,0.0,True
21,0.7857142857142857,0.009125471115112305,0.0,True
22,0.8571428571428571,0.0,0.0,True
23,0.7619047619047619,0.008517742156982422,0.0,True
24,0.8095238095238095,0.008148670196533203,0.0,True
25,0.6428571428571429,0.0,0.007670164108276367,True
26,0.8095238095238095,0.005459785461425781,0.0,True
27,0.7380952380952381,0.001844644546508789,0.0,True
28,0.7619047619047619,0.008026599884033203,0.0,True
29,0.8333333333333334,0.004145622253417969,0.0,True
30,0.8571428571428571,0.00753474235534668,0.0,True
31,0.7619047619047619,0.009816408157348633,0.0,True
32,0.8571428571428571,0.010389566421508789,0.0,True
33,0.7857142857142857,0.006151676177978516,0.0,True
34,0.7619047619047619,0.0103302001953125,0.0,True
35,0.7380952380952381,0.009412527084350586,0.0,True
36,0.8095238095238095,0.005576610565185547,0.0,True
37,0.7142857142857143,0.005382537841796875,0.0,True
38,0.7857142857142857,0.010173559188842773,0.0,True
39,0.8095238095238095,0.009676456451416016,0.0,True
40,0.6904761904761905,0.0057027339935302734,0.0,True
41,0.6904761904761905,0.005331277847290039,0.0,True
42,0.7619047619047619,0.0072481632232666016,0.0,True
43,0.8809523809523809,0.0,0.0,True
44,0.7142857142857143,0.010350704193115234,0.0,True
45,0.8095238095238095,0.008539915084838867,0.0,True
46,0.7380952380952381,0.006299257278442383,0.0,True
47,0.7857142857142857,0.008875846862792969,0.0,True
48,0.7857142857142857,0.008056640625,0.0,True
49,0.7619047619047619,0.00792837142944336,0.0,True
50,0.7857142857142857,0.008419513702392578,0.0,True
