Fold,Accuracy,Training_Time,Prediction_Time
1,0.9302325581395349,0.18968486785888672,0.0010080337524414062
2,0.8095238095238095,0.17352771759033203,0.0
3,0.8333333333333334,0.18791675567626953,0.0029265880584716797
4,0.9285714285714286,0.18382668495178223,0.0
5,0.8809523809523809,0.18430042266845703,0.0009515285491943359
6,0.9302325581395349,0.1813051700592041,0.0
7,0.7619047619047619,0.18660640716552734,0.0
8,0.8333333333333334,0.1719653606414795,0.0
9,0.9047619047619048,0.18239402770996094,0.0011067390441894531
10,0.9523809523809523,0.19968438148498535,0.0
11,0.9302325581395349,0.22483587265014648,0.0016748905181884766
12,0.9523809523809523,0.2022104263305664,0.0038237571716308594
13,0.8809523809523809,0.22137665748596191,0.002843141555786133
14,0.8095238095238095,0.1766359806060791,0.0
15,0.8095238095238095,0.18878960609436035,0.00434422492980957
16,0.9302325581395349,0.23894762992858887,0.0010063648223876953
17,0.9523809523809523,0.18498682975769043,0.0020155906677246094
18,0.8095238095238095,0.20948410034179688,0.0
19,0.8571428571428571,0.1604459285736084,0.0
20,0.9285714285714286,0.18456172943115234,0.0013294219970703125
21,0.8837209302325582,0.1855003833770752,0.0009996891021728516
22,0.8333333333333334,0.18754005432128906,0.0
23,0.8571428571428571,0.17423486709594727,0.0
24,0.8095238095238095,0.1816110610961914,0.002095460891723633
25,0.9285714285714286,0.19652533531188965,0.0
26,0.9302325581395349,0.19391918182373047,0.0010175704956054688
27,0.8809523809523809,0.18510818481445312,0.0010008811950683594
28,0.7142857142857143,0.19672632217407227,0.0009860992431640625
29,0.9285714285714286,0.16593694686889648,0.0021092891693115234
30,0.8809523809523809,0.16791582107543945,0.0
31,0.8372093023255814,0.17345428466796875,0.0
32,0.9285714285714286,0.1724224090576172,0.0
33,0.8809523809523809,0.16027569770812988,0.00478053092956543
34,0.9047619047619048,0.16482782363891602,0.0
35,0.8809523809523809,0.16707754135131836,0.0016095638275146484
36,0.9069767441860465,0.17334628105163574,0.0
37,0.7857142857142857,0.16672778129577637,0.0
38,0.9523809523809523,0.1799015998840332,0.0
39,0.9523809523809523,0.16700530052185059,0.0
40,0.8809523809523809,0.1700305938720703,0.004952669143676758
41,0.9302325581395349,0.16666817665100098,0.0
42,0.8095238095238095,0.16822052001953125,0.0
43,0.8571428571428571,0.16002583503723145,0.0
44,0.9047619047619048,0.17359542846679688,0.0
45,0.8809523809523809,0.16462945938110352,0.0021092891693115234
46,0.8372093023255814,0.18995976448059082,0.0
47,0.9047619047619048,0.16235136985778809,0.0
48,0.8809523809523809,0.1712634563446045,0.0
49,0.8571428571428571,0.16889429092407227,0.0
50,0.9047619047619048,0.1727302074432373,0.0
