Accuracy,Fold
0.8333333333333334,1
0.8095238095238095,2
0.8333333333333334,3
0.8333333333333334,4
0.5952380952380952,5
0.8333333333333334,6
0.6904761904761905,7
0.8333333333333334,8
0.8333333333333334,9
0.7380952380952381,10
0.7380952380952381,11
0.8095238095238095,12
0.7380952380952381,13
0.7857142857142857,14
0.8571428571428571,15
0.7142857142857143,16
0.7857142857142857,17
0.8095238095238095,18
0.7857142857142857,19
0.7619047619047619,20
0.7857142857142857,21
0.8571428571428571,22
0.7380952380952381,23
0.8571428571428571,24
0.6904761904761905,25
0.8571428571428571,26
0.7142857142857143,27
0.6904761904761905,28
0.7857142857142857,29
0.7857142857142857,30
0.7619047619047619,31
0.8571428571428571,32
0.6666666666666666,33
0.7142857142857143,34
0.7142857142857143,35
0.7619047619047619,36
0.7142857142857143,37
0.6904761904761905,38
0.8095238095238095,39
0.8095238095238095,40
0.6904761904761905,41
0.7142857142857143,42
0.8095238095238095,43
0.7142857142857143,44
0.7857142857142857,45
0.6666666666666666,46
0.7380952380952381,47
0.8571428571428571,48
0.7619047619047619,49
0.7619047619047619,50
