Fold,Accuracy,Training_Time,Prediction_Time,Var_Smoothing_Effect,Class_Prior_0,Class_Prior_1,Class_Prior_2
26,0.9459459459459459,0.0,0.0,1.3159664111920083e-11,0.38620689655172413,0.3793103448275862,0.23448275862068965
27,0.8378378378378378,0.0,0.0,1.3421746840383288e-11,0.38620689655172413,0.36551724137931035,0.2482758620689655
28,0.8888888888888888,0.0009987354278564453,0.0,1.3300307600580868e-11,0.3835616438356164,0.3698630136986301,0.2465753424657534
29,0.7777777777777778,0.0,0.0009992122650146484,1.1594445353890088e-11,0.3698630136986301,0.4178082191780822,0.21232876712328766
30,0.6666666666666666,0.0,0.0,1.2945796859070048e-11,0.3972602739726027,0.3904109589041096,0.21232876712328766
31,0.8648648648648649,0.0,0.0,1.3148687662500544e-11,0.3931034482758621,0.3931034482758621,0.21379310344827587
32,0.8648648648648649,0.0009999275207519531,0.0,1.2869964919671121e-11,0.41379310344827586,0.3586206896551724,0.22758620689655173
33,0.6944444444444444,0.0,0.0,1.28674235919598e-11,0.3356164383561644,0.410958904109589,0.2534246575342466
34,0.8333333333333334,0.001005411148071289,0.0,1.3444428605999093e-11,0.3767123287671233,0.4041095890410959,0.2191780821917808
35,0.8888888888888888,0.0005154609680175781,0.0,1.2456176787742576e-11,0.4041095890410959,0.3561643835616438,0.23972602739726026
36,0.8378378378378378,0.0,0.0010523796081542969,1.3170246493607354e-11,0.3793103448275862,0.3793103448275862,0.2413793103448276
37,0.8918918918918919,0.0,0.0,1.3335414863448947e-11,0.3586206896551724,0.4068965517241379,0.23448275862068965
38,0.7777777777777778,0.0006866455078125,0.0,1.1919586237052285e-11,0.3904109589041096,0.3972602739726027,0.21232876712328766
39,0.8055555555555556,0.0,0.0,1.2922089891471497e-11,0.4041095890410959,0.3767123287671233,0.2191780821917808
40,0.7777777777777778,0.0,0.0,1.331705443054934e-11,0.3904109589041096,0.363013698630137,0.2465753424657534
41,0.6756756756756757,0.0,0.0,1.204473633680035e-11,0.38620689655172413,0.3586206896551724,0.25517241379310346
42,0.8648648648648649,0.0,0.0,1.3044166234675253e-11,0.3793103448275862,0.38620689655172413,0.23448275862068965
43,0.9444444444444444,0.0,0.0,1.3488563476756417e-11,0.3835616438356164,0.410958904109589,0.2054794520547945
44,0.8611111111111112,0.0005855560302734375,0.0,1.2780930870933008e-11,0.3904109589041096,0.3767123287671233,0.2328767123287671
45,0.8611111111111112,0.0,0.0,1.3136308263415213e-11,0.3835616438356164,0.3904109589041096,0.22602739726027396
46,0.918918918918919,0.0,0.0,1.3119001863054191e-11,0.4,0.4,0.2
47,0.7837837837837838,0.0,0.0,1.3063076018804597e-11,0.35172413793103446,0.4,0.2482758620689655
48,0.8055555555555556,0.0,0.0,1.2692024324098352e-11,0.4041095890410959,0.3561643835616438,0.23972602739726026
49,0.6944444444444444,0.0,0.0,1.18274556022084e-11,0.3767123287671233,0.3904109589041096,0.2328767123287671
50,0.8611111111111112,0.004361629486083984,0.0,1.3872198416022636e-11,0.3904109589041096,0.3767123287671233,0.2328767123287671
