Fold,Accuracy,Training_Time,Prediction_Time,Convergence_Warning
1,0.813953488372093,0.009361028671264648,0.0,True
2,0.8333333333333334,0.0064699649810791016,0.0,True
3,0.6666666666666666,0.004695892333984375,0.0,True
4,0.7619047619047619,0.00800776481628418,0.0,True
5,0.8571428571428571,0.005316495895385742,0.002064228057861328,True
6,0.8604651162790697,0.00811767578125,0.0,True
7,0.6190476190476191,0.007957935333251953,0.0,True
8,0.7142857142857143,0.0062901973724365234,0.003464221954345703,True
9,0.8809523809523809,0.006800174713134766,0.0,True
10,0.8571428571428571,0.005172252655029297,0.0,True
11,0.813953488372093,0.004567384719848633,0.0,True
12,0.7619047619047619,0.01012420654296875,0.0,True
13,0.8095238095238095,0.009707450866699219,0.0,True
14,0.8333333333333334,0.0049593448638916016,0.0,True
15,0.7857142857142857,0.001992464065551758,0.0,True
16,0.7906976744186046,0.010541677474975586,0.0,True
17,0.8333333333333334,0.007430076599121094,0.0,True
18,0.8095238095238095,0.006886720657348633,0.0,True
19,0.7142857142857143,0.00397181510925293,0.0,True
20,0.7857142857142857,0.004390716552734375,0.0020689964294433594,True
21,0.8372093023255814,0.0047969818115234375,0.0,True
22,0.8333333333333334,0.0035681724548339844,0.0,True
23,0.7142857142857143,0.0038917064666748047,0.0,True
24,0.8571428571428571,0.0,0.0,True
25,0.7857142857142857,0.008238792419433594,0.0,True
26,0.9069767441860465,0.007441520690917969,0.0,True
27,0.8095238095238095,0.010211467742919922,0.0,True
28,0.6904761904761905,0.0069158077239990234,0.0,True
29,0.8333333333333334,0.006984233856201172,0.0,True
30,0.8095238095238095,0.006881237030029297,0.0,True
31,0.813953488372093,0.0,0.0,True
32,0.8095238095238095,0.020301342010498047,0.0,True
33,0.7619047619047619,0.010203361511230469,0.0,True
34,0.8095238095238095,0.002607107162475586,0.0047321319580078125,True
35,0.8095238095238095,0.00395655632019043,0.0,True
36,0.9069767441860465,0.008237123489379883,0.0,True
37,0.6904761904761905,0.0,0.0,True
38,0.7142857142857143,0.004982948303222656,0.0,True
39,0.8571428571428571,0.007503032684326172,0.0,True
40,0.8571428571428571,0.00611114501953125,0.0,True
41,0.7906976744186046,0.0072689056396484375,0.0,True
42,0.7380952380952381,0.0052411556243896484,0.0,True
43,0.8095238095238095,0.0032198429107666016,0.0,True
44,0.9285714285714286,0.00775909423828125,0.0,True
45,0.7380952380952381,0.010692119598388672,0.0020546913146972656,True
46,0.813953488372093,0.007854461669921875,0.0,True
47,0.9047619047619048,0.005829572677612305,0.0,True
48,0.7619047619047619,0.009588241577148438,0.0,True
49,0.8095238095238095,0.004281282424926758,0.0,True
50,0.8095238095238095,0.0118560791015625,0.0,True
